Content,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Total
"2 Column Subsite",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,54,136,181,80,28,36,0,522
Book,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,2,0,2,0,1,4,1,1,3,1,3,5,4,6,7,4,3,6,11,7,12,13,14,8,16,15,19,18,20,17,19,23,36,24,22,21,22,20,12,12,2,441
"Book Chapter",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,3,1,1,1,2,6,5,2,4,1,9,3,10,12,11,29,14,7,27,24,50,18,40,34,26,21,1,18,0,387
Journal,1,2,0,0,0,0,2,1,0,0,2,1,1,0,1,0,0,0,0,0,2,1,0,1,2,0,3,3,0,1,3,0,14,3,0,3,3,5,4,10,11,12,10,6,2,4,7,6,8,14,46,9,5,16,7,6,0,238
"Journal  Article",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,2,0,2,4,4,2,3,5,6,6,5,9,7,19,13,16,13,16,16,9,13,19,35,21,29,37,27,20,7,31,20,24,0,445
"Papers and Reports",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,2,0,5,3,4,4,6,4,3,5,9,8,15,8,11,8,5,9,10,11,15,16,5,4,3,7,0,185
"Doctoral Dissertation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,2,1,2,2,6,1,5,9,5,9,5,17,17,10,6,11,10,17,14,17,26,0,197
"Newspaper Article",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,1,2,0,2,4,6,13,126,185,76,73,95,156,200,186,187,2,1318
"Radio Broadcast",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,9,11,8,5,5,18,17,0,85
"Television Appearances",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,8,64,36,15,54,52,38,37,28,0,335
"Audio Recording",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3
"Magazine Article",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,6,6,8,8,27,74,23,20,3,4,0,185
Podcast,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,2,1,0,1,3,0,26
"Newsletter Article",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,22,14,0,0,0,0,13,8,7,14,0,69,91,58,46,41,29,47,60,50,0,580
"Press Releases",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,5,4,0,0,0,20
Blog,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,6,1,0,2,5,1,0,18
"Blog Enteries",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,15,91,210,71,243,539,357,2,1539
Publisher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,157,149,36,26,34,39,0,607
"Publisher Publications",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,98,85,54,54,75,102,0,569
Event,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,8,15,39,24,104,121,165,189,181,231,212,18,1319
