created_at,id_str,text,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id_str,in_reply_to_screen_name
Fri Dec 25 01:02:24 +0000 2015,6.80E+17,RT @Clarabltn: Bon j'ai eu mon parfum c'est déjà un début 😄,,,,
Fri Dec 25 01:02:24 +0000 2015,6.80E+17,"@hamumg 
ありがとー笑 がんばるー",6.80E+17,6.80E+17,2458422764,hamumg
Fri Dec 25 01:02:24 +0000 2015,6.80E+17,RT @joshuadun: if my parents don’t get me an iPad pro tomorrow i’m going to scream.,,,,
Fri Dec 25 01:02:24 +0000 2015,6.80E+17,RT @AllTimeLow: Merry Christmas part deux! https://t.co/SG8da2lJzE,,,,
Fri Dec 25 01:02:24 +0000 2015,6.80E+17,RT @LovinBoyIsHavok: DAMN! @NaomiWWE  yellow is so your color you look #Amaazzing  https://t.co/SlmLK6hIME,,,,
Fri Dec 25 01:02:24 +0000 2015,6.80E+17,@jtuna_18 @kaitlintownsley he not real,6.80E+17,6.80E+17,2483015036,jtuna_18
Fri Dec 25 01:02:24 +0000 2015,6.80E+17,لو اعلمك ان كلامك راحتي، بتكثر حكي؟,,,,
Fri Dec 25 01:02:24 +0000 2015,6.80E+17,RT @falsianecobr: pelo o q eu conheço de mim eu n me importaria em pular no meio desses balões e correr o risco de quebrar alguns osso http…,,,,
Fri Dec 25 01:02:24 +0000 2015,6.80E+17,待たせたな！ https://t.co/RYcK0VGyfF,,,,
Fri Dec 25 01:02:24 +0000 2015,6.80E+17,RT @_nicoleabbott_: @emmamattern @catieishere @hil_alex  https://t.co/ItzDt9TmGt,,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,"RT @noivcalderon: A blessed Christmas to all, @aldenrichards02 @mainedcm AlDub Nation see you at the cinemas #ALDUBMyBebeLoveSaPASKO  https…",,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,RT @wandogchan: 【おもしろ調査】アノ体位、英語でなんて言うのか調べてみたｗｗこれで国際交流も怖くないｗｗ→https://t.co/MUSMDzFjFh https://t.co/INQxTlf5pl,,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,Get Weather Updates from The Weather Channel. 20:02:25,,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,RT @ginneko_aj: あと、高橋大輔って、やたらと「体力ヤバイ～」と言いまくってるけど、あんなに感情こめて踊りまくったらそりゃ、運動量上がるだろって話で。しんどくしてるの自分だよっ。現役の時もずっとそう思ってたけど、引退してもそこは変わらないんだなあ。というわけで、し…,,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,"@pappipapappi 
ソラナ『マース！！』
ズドーーーン！！！
（高い位置エネルギーと回転力がかかった凄まじい威力のアイアンテール！！）",6.80E+17,6.80E+17,3007222320,pappipapappi
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,Get Weather Updates from The Weather Channel. 20:02:25,,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,"فيلم #سكس مزة شقراء سخنة تتفشخ فى خرم طيزها واهات مثيره 9 دقائق شاهده وتخطى الحجب هون⬅ https://t.co/iAAor4rwde https://t.co/dQktiBPsUr
c0e8",,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,RT @ChadJordan23: A nude a day will keep the boredom away.,,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,"Life is just a masquerade. In dept to myself,
but I can't pay. Soon I'll call it all a day, away.",,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,ぺゃっｗｗｗ,,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,@IamTarynParker @penutbutterkid peanut butter kid is my spirit animal ♥️👶🏼,6.80E+17,6.80E+17,209841979,IamTarynParker
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,😒,,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,Christmas is the time for giving .... my team #partygroup24 we did it made some families smile .... #PNMforlife... https://t.co/VYCban2d2G,,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,"RT @Dory: ""How dry is your phone"" 
 Me - https://t.co/6PBKUGBtpH",,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,RT @ismaelprogreso: VIVA venezuela CARAJO llego la hora del CAMBIO:¡Feliz Navidad! Una pequeña luz comienza a iluminar a Venezuela https://…,,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,"to te desejando feliz natal, mais queria mesmo era estar te  beijando.",,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,RT @KSIOlajidebt: MERRY CHRISTMAS 😁😁😁,,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,Fat ass. https://t.co/X7lkhwciL4,,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,Arguably a hall of fame player. U niggas trippin  https://t.co/zHxvVS1U66,,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,oh my god I ship Alphys and Undyne,,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,@kasinglol godistar,6.80E+17,6.80E+17,1439376715,kasinglol
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,Le pedí a Papa Noel que cumplas lo que dijiste y te vayas bien lejos gordo pelotudo https://t.co/DJYENHahPY,,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,@Alwaleed_Talal صبحه باالخير,,,1244602586,Alwaleed_Talal
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,@gb_romano vai la ver o que eu comentei kkkkkkk,6.80E+17,6.80E+17,3288993531,gb_romano
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,RT @DailyRapFacts: Can't wait for Future to release this https://t.co/5HHcW0YbGu,,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,En busca del amor ...,,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,@searchglobo pior protagonista na história a química dela é fraca com o Nicolas Prates e mais não está convencendo,6.80E+17,6.80E+17,3290420850,searchglobo
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,@rastaaraee_ in the morning,6.80E+17,6.80E+17,164977019,rastaaraee_
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,"RT @moonlight_1127: 찬열이 인스타그램 채색 &gt;_&lt; 찬열이 메리크리스마스! (3번째
https://t.co/BrvWBY0XJ2 https://t.co/zvSNrsUSGW",,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,RT @DailyRapFacts: Kodak Black working on the tape https://t.co/FrM4k0MYvO,,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,They air max 😂 https://t.co/jwB9897V2q,,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,Happy Holidays!🎄,,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,"¿Que opina la gente? #DolarPregunta, consulta los resultados y/o participa en -► https://t.co/2Jhjj5jTk0 https://t.co/QyyxYI4Dgy",,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,BE SURE TO DRINK YOUR OVALTINE,,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,@_Kozukkemi_ oui le rêve !!! Il y a de super goodies impossible à trouvés pour nous,6.80E+17,6.80E+17,319799811,_Kozukkemi_
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,RT @Bah_larryzinha: Obrigada por tudos irmas ❤ Eu amo cada uma de voces #MerryChristmas1DFamily https://t.co/G0zfvkVFsk,,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,@onikallah omg I love this,6.80E+17,6.80E+17,539324725,onikallah
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,Ootbin dain a Jobby @chubbycheeksxo https://t.co/EXKAsvVfYj,,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,سوريه بيضه ملبن نكها وقبل مايجيب يحطوا بين نهودها الجميله ويجيب ع صدرها https://t.co/yAnQPYBDQk  YFM https://t.co/1i4Zy68bxS,,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,♫[FREE DOWNLOAD]♫ “Pharrell Williams - GIRLS” ⇥ https://t.co/fmTc5f5vFg ⇤ #Mp3 #Torrent #Zippyshare ✌ https://t.co/eEdXtin6x1,,,,
Fri Dec 25 01:02:25 +0000 2015,6.80E+17,"RT @bozzkubraa: Haci hayatimin drami su""  AL BÜŞÜ VUR ÇIKO YA "" ozet ve net",,,,
Fri Dec 25 01:02:26 +0000 2015,6.80E+17,Get Weather Updates from The Weather Channel. 20:02:25,,,,
Fri Dec 25 01:02:26 +0000 2015,6.80E+17,"De todas maneras les deseo una excelente navidad a todos, diviértanse mucho 💃",,,,
Fri Dec 25 01:02:26 +0000 2015,6.80E+17,私に求められるは今夜の回避方法。,,,,
Fri Dec 25 01:02:26 +0000 2015,6.80E+17,@MykenziGrier2 mackle😍😍😍,6.80E+17,6.80E+17,2467267944,MykenziGrier2
Fri Dec 25 01:02:26 +0000 2015,6.80E+17,RT @jyj_sopphie: @J_yj6002_ 핸쓰쟈기 내꼬❤,,,,
Fri Dec 25 01:02:26 +0000 2015,6.80E+17,"【最安値のチケット!!】
ハロプロ Hello! Project 2016 WINTER～ DANCING!SINGING!EXCITING!～

譲）東京都 1/04 17:30 1枚
席）1…

https://t.co/DJamRJs6kf
#アンジュルム #angerme",,,,
Fri Dec 25 01:02:26 +0000 2015,6.80E+17,RT @noodleIimbs: https://t.co/N96EmbrBEd,,,,
Fri Dec 25 01:02:26 +0000 2015,6.80E+17,"RT @KanColle_STAFF: 大和や島風などのイラストを担当するしずまよしのりさんから、天津風とクリスマスケーキが届きましたので、ご紹介します！年の瀬もいい風きてる？引き続き、クリスマス、そして師走の「艦娘」をどうぞよろしくお願い致します！
#艦これ https://…",,,,
Fri Dec 25 01:02:26 +0000 2015,6.80E+17,"@ryusei_staff メリークリスマス🎅🎄🎁
おめでとうございます🎉写真サイコーです✨✨",6.80E+17,6.80E+17,4443873563,ryusei_staff
Fri Dec 25 01:02:26 +0000 2015,6.80E+17,"RT @Zayn_1D_Larry: Good morning
Larry is real",,,,
Fri Dec 25 01:02:26 +0000 2015,6.80E+17,""" fuira fuira "" jaja amo a mi abuela",,,,
Fri Dec 25 01:02:26 +0000 2015,6.80E+17,How did you discover #lawofattraction and when did you know it was FOR REAL? https://t.co/9oicoTRQTQ #consiousness #energyhealing #vibration,,,,
Fri Dec 25 01:02:26 +0000 2015,6.80E+17,"【薄毛】【抜毛】【分け目】【髪のボリューム】の悩みの方必見!!頭皮環境を優しく清潔に整えます☆
https://t.co/tIHGMqVQFw",,,,
Fri Dec 25 01:02:26 +0000 2015,6.80E+17,所得順にお返しします！,,,,
Fri Dec 25 01:02:26 +0000 2015,6.80E+17,Get Weather Updates from The Weather Channel. 20:02:26,,,,
Fri Dec 25 01:02:26 +0000 2015,6.80E+17,Wow precious and richard blew me today 😒😒😒,,,,
Fri Dec 25 01:02:26 +0000 2015,6.80E+17,@oibrubs02 @_coepretinha kkkkkkkk aham.. sei,6.80E+17,6.80E+17,4190128455,oibrubs02
Fri Dec 25 01:02:26 +0000 2015,6.80E+17,will you bring royalty on tour with you? chrisbrown #RoyaltyQA #BringRoyaltyHomeForTheHolidays IL https://t.co/2yHXNrfuqy,,,,
Fri Dec 25 01:02:26 +0000 2015,6.80E+17,0202💘,,,,
Fri Dec 25 01:02:26 +0000 2015,6.80E+17,@karlacuellar11 the worst part is it was a new golf club,6.80E+17,6.80E+17,2789862533,karlacuellar11
Fri Dec 25 01:02:26 +0000 2015,6.80E+17,I posted a new photo to Facebook https://t.co/KAqeflv9Vb,,,,
Fri Dec 25 01:02:26 +0000 2015,6.80E+17,"I have been on Twitter for 2 years, 4 months, 6 days (since 18 Aug 2013).
And you? https://t.co/wGcH87wnaD",,,,
Fri Dec 25 01:02:26 +0000 2015,6.80E+17,RT @HentaiTuits: Christmas Eve 💝 #hentai #lewd #hornygirl #slut #hentaicommunity https://t.co/VKwMTkkEF8,,,,
Fri Dec 25 01:02:26 +0000 2015,6.80E+17,Giovanna766771D #MTVStarOf2015 Beyonce,,,,
